"year","Antwerp","Amsterdam","London","Oxford","Paris","Strasbourg","Florence","Milan","Naples","Valencia","Madrid","Augsburg","Leipzig","Vienna","Gdansk","Krakow","Warsaw"
1260,,,,,,,,,,,,,,,,,
1261,,,,,,,,,,,,,,,,,
1262,,,,,,,,,,,,,,,,,
1263,,,,,,,,,,,,,,,,,
1264,,,,,,,,,,,,,,,,,
1265,,,,,,,,,,,,,,,,,
1266,,,,,,,,,,,,,,,,,
1267,,,,,,,,,,,,,,,,,
1268,,,,,,,,,,,,,,,,,
1269,,,,,,,,,,,,,,,,,
1270,,,,,,,,,,,,,,,,,
1271,,,,,,,,,,,,,,,,,
1272,,,,,,,,,,,,,,,,,
1273,,,,,,,,,,,,,,,,,
1274,,,,,,,,,,,,,,,,,
1275,,,,,,,,,,,,,,,,,
1276,,,,,,,,,,,,,,,,,
1277,,,,,,,,,,,,,,,,,
1278,,,,,,,,,,,,,,,,,
1279,,,,,,,,,,,,,,,,,
1280,,,,,,,,,,,,,,,,,
1281,,,,,,,,,,,,,,,,,
1282,,,,,,,,,,,,,,,,,
1283,,,,,,,,,,,,,,,,,
1284,,,,,,,,,,,,,,,,,
1285,,,,,,,,,,,,,,,,,
1286,,,,,,,,,,,,,,,,,
1287,,,,,,,,,,,,,,,,,
1288,,,,,,,,,,,,,,,,,
1289,,,,,,,,,,,,,,,,,
1290,,,,,,,,,,,,,,,,,
1291,,,,,,,,,,,,,,,,,
1292,,,,,,,,,,,,,,,,,
1293,,,,,,,,,,,,,,,,,
1294,,,,,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,,,
1296,,,,,,,,,,,,,,,,,
1297,,,,,,,,,,,,,,,,,
1298,,,,,,,,,,,,,,,,,
1299,,,,,,,,,,,,,,,,,
1300,,,,,,,,,,,,,,,,,
1301,,,0.847452651,,,,,,,,,,,,,,
1302,,,0.826370872,,,,,,,,,,,,,,
1303,,,0.873675983,,,,,,,,,,,,,,
1304,,,0.794585131,,,,,,,,,,,,,,
1305,,,0.797377721,,,,,,,,,,,,,,
1306,,,0.857034279,,,,,,,,,,,,,,
1307,,,0.808531697,,,,,,,,,,,,,,
1308,,,0.699606365,,,,,,,,,,,,,,
1309,,,0.622536711,,,,,,,,,,,,,,
1310,,,0.662675195,,,,,,,,,,,,,,
1311,,,0.797674681,,,,,,,,,,,,,,
1312,,,0.757220892,,,,,,,,,,,,,,
1313,,,0.729776084,,,,,,,,,,,,,,
1314,,,0.627746538,,,,,,,,,,,,,,
1315,,,0.444569852,,,,,,,,,,,,,,
1316,,,0.443730282,,,,,,,,,,,,,,
1317,,,0.616629782,,,,,,,,,,,,,,
1318,,,0.753256368,,,,,,,,,,,,,,
1319,,,0.784005748,,,,,,,,,,,,,,
1320,,,0.710404042,,,,,,,,,,,,,,
1321,,,0.535372556,,,,,,,,,,,,,,
1322,,,0.578511747,,,,,,,,,,,,,,
1323,,,0.667349892,,,,,,,,,,,,,,
1324,,,0.684943878,,,,,,,,,,,,,,
1325,,,0.744244196,,,,,,,,,,,,,,
1326,,,0.856101607,,,,1.006186022,,,,,,,,,,
1327,,,0.85660625,,,,0.920380306,,,,,,,,,,
1328,,,0.731182986,,,,0.82643608,,,,,,,,,,
1329,,,0.717219512,,,,0.623765085,,,,,,,,,,
1330,,,0.638914286,,,,0.654167237,,,,,,,,,,
1331,,,0.672480021,,,,0.890135837,,,,,,,,,,
1332,,,0.806306473,,,,0.985786302,,,,,,,,,,
1333,,,0.829075908,,,,0.626519493,,,,,,,,,,
1334,,,0.83052259,,,,0.592811833,,,,,,,,,,
1335,,,0.766036133,,,,0.593971952,,,,,,,,,,
1336,,,0.797041741,,,,0.599918446,,,,,,,,,,
1337,,,0.898093407,,,,0.600518175,,,,,,,,,,
1338,,,0.976708809,,,,0.603719886,,,,,,,,,,
1339,,,0.839458726,,,,0.587744881,,,,,,,,,,
1340,,,0.965072727,,,,0.454689437,,,,,,,,,,
1341,,,0.97800136,,,,0.450081038,,,,,,,,,,
1342,,,0.960684892,,,,0.465564912,,,,,,,,,,
1343,,,0.860213743,,,,0.448077339,,,,,,,,,,
1344,,,0.935978198,,,,0.438597158,,,,,,,,,,
1345,,,0.910320858,,,,0.440172173,,,,,,,,,,
1346,,,0.754621602,,,,0.437858133,,,,,,,,,,
1347,,,0.738741006,,,,0.404508134,,,,,,,,,,
1348,,,0.878455247,,,,0.417487994,,,,,,,,,,
1349,,,0.796394718,,,,0.382561752,,,,,,,,,,
1350,,,0.66171707,,,,1.196854269,,,,,,,,,,
1351,,,0.639847465,,,,1.111083265,,,,,,,,,,
1352,,,0.706570569,,,,1.104883465,,,,,,,,,,
1353,,,0.871141698,,,,0.999889638,,,,,,,,,,
1354,,,0.832433201,,,,1.02302187,,,,,,,,,,
1355,,,0.811883293,,,,1.061762288,,,,,,,,,,
1356,,,0.766198042,,,,1.068317821,,,,,,,,,,
1357,,,0.784588151,,,,1.120267708,,,,,,,,,,
1358,,,0.84242225,,,,1.152392318,,,,,,,,,,
1359,,,0.770918784,,,,1.173503412,,,,,,,,,,
1360,,,0.756365066,,,,1.119865651,,,,,,,,,,
1361,,,0.751697147,,,,1.263205505,,,,,,,,,,
1362,,,0.702323184,,,,1.329816626,,,,,,,,,,
1363,,,0.706601956,,,,1.328192699,,,,,,,,,,
1364,,,0.731021791,,,,1.291045599,,,,,,,,,,
1365,,,0.809688139,,,,1.364269042,,,,,,,,,,
1366,,,0.75605698,,,,1.336461782,,,,,,,,,,
1367,,,0.711709282,,,,1.077942598,,,,,,,,,,
1368,,,0.739215529,,,,0.947084059,,,,,,,,,,
1369,,,0.561315481,,,,0.984386772,,,,,,,,,,
1370,,,0.630469439,,,,0.832862888,,,,,,,,,,
1371,,,0.724168189,,,,0.916392266,,,,,,,,,,
1372,,,1.079355857,,,,1.539577384,,,,,,,,,,
1373,,,1.164842133,,,,1.659692118,,,,,,,,,,
1374,,,1.075270466,,,,0.953204597,,,,,,,,,,
1375,,,1.096028709,,,,0.713445363,,,,,,,,,,
1376,,,1.239808162,,,,1.303699943,,,,,,,,,,
1377,,,1.378293027,,,,1.485812016,,,,,,,,,,
1378,,,1.380855959,,,,1.462620328,,,,,,,,,,
1379,,,1.206766436,,,,1.66377498,,,,,,,,,,
1380,,,1.177819012,,,,1.80872312,,,,,,,,,,
1381,,,1.200807118,,,,1.30819847,,,,,,,,,,
1382,,,1.184035486,,,,1.349698423,,,,,,,,,,
1383,,,1.18783681,,,,1.17892454,,,,,,,,,,
1384,,,1.164515642,,,,1.205801956,,,,,,,,,,
1385,,,1.188311254,,,,1.141690787,,,,,,,,,,
1386,,,1.303464212,,,,1.078268133,,,,,,,,,,
1387,,,1.381507212,,,,1.288355622,,,,,,,,,,
1388,,,1.420875731,,,,1.017243817,,,,,,,,,,
1389,,,1.245778747,,,,0.740818525,,,,,,,,,,
1390,,,1.074056225,,,,0.78908814,,,,,,,,,,
1391,,,1.235120475,,,,0.85746334,,,,,,,,,,
1392,,,1.367551767,,,,0.983895042,,,,,,,,,,
1393,,,1.313204099,,,,1.099111226,,,,,,,,,,
1394,,,1.378017969,,,,1.615710811,,,,,,,,,,
1395,,,1.271280465,,,1.081277193,1.256277502,,,,,,,,,,
1396,,,1.172533007,,,1.067452158,1.285134008,,,,,,,,,,
1397,,,1.19866964,,,1.087789755,1.026318125,,,,,,,,,,
1398,,,1.240874303,,,1.088100767,1.194148113,,,,,,,,,,
1399,1.207876731,,1.239761951,,,1.110875848,1.12280176,,,,,,,,,,
1400,1.380250609,,1.090328573,,,1.089528649,1.510245126,,,,,,,,,,
1401,1.401793783,,1.115084327,,,1.08988095,1.321136523,,,,,,,,,,
1402,1.410926735,,1.152248068,,,1.142388849,1.367526323,,,,,,,,,,
1403,1.420914008,,1.506054082,,,1.115794458,1.560307154,,,,,,,,,,
1404,1.416340272,,1.495140156,,,1.091199632,1.619541686,,,,,,,,,,
1405,1.584017311,,1.585837617,,,1.143837737,1.32313927,,,,,,,,,,
1406,1.498352485,,1.475358319,,,1.156292124,1.432646624,,,,,,,,,,
1407,1.454188358,,1.431082083,,,1.142478363,1.845256534,,,,,,,,,,
1408,1.326900478,,1.238004482,,,1.11798339,1.417897652,,,,,,,,,,
1409,1.326384952,,1.198768043,,,1.134957835,1.145837666,,,,,,,,,1.043508909,
1410,1.363230646,,1.41190202,,,1.148941285,1.210762248,,,,,,,,,1.13840623,
1411,1.321881287,,1.458412803,,,1.159183315,1.100484489,,,,,,,,,0.97588855,
1412,1.221962438,,1.346568749,,,1.159326895,1.416639607,,,,,,,,,1.057534485,
1413,1.206280268,,1.553049914,,,1.156825903,1.75722787,,,1.244253732,,,,,,1.134928573,
1414,1.182762052,,1.54045547,,,1.155109412,1.55275803,,,1.382418946,,,,,,1.113048025,
1415,1.144774276,,1.44156228,,,1.139651627,1.510580784,,,1.409142895,,,,,,1.135232662,
1416,1.135384815,,1.362526175,,,1.147327191,1.178366197,,,1.424144581,,,,,,1.135232662,
1417,1.294117851,,1.546639662,,,1.077623795,1.306569704,,,1.499989048,,,,,,1.135232662,
1418,1.3002813,,1.485871636,,,1.166462431,1.396651947,,,1.736863007,,,,,,1.13466188,
1419,1.392338222,,1.611984349,,,1.203450572,1.264350783,,,1.729082343,,,,,,1.172576608,
1420,1.318121351,,1.570597508,,,1.171274422,0.969751254,,,1.655346219,,,,,,1.743946054,
1421,1.294058584,,1.594703894,,,1.085940112,1.069817791,,,1.526814183,,,,,,1.292969189,
1422,1.280864791,,1.633313341,,,1.10633529,1.589584413,,,1.309244529,,,,,,1.29337656,
1423,1.284398841,,1.656216515,,,1.09779147,1.414840186,,,1.53624805,,,,,,1.293784188,
1424,1.276026428,,1.529682939,,,1.106739705,1.848051587,,,1.384030167,,,,,,1.294192073,
1425,1.290404965,,1.662366836,,,1.1027216,1.305979987,,,1.612613802,,,,,,1.294600216,
1426,1.256318616,,1.703092618,,,1.136266463,1.24514067,,,1.225255977,,,,,,1.160781353,
1427,1.244556782,,1.674886574,,,1.19791234,1.61054467,,,1.454370173,,,,,,1.348360269,
1428,1.231151448,,1.292466966,,,1.144648144,1.774968664,,,1.544273304,,,,,,1.306725193,
1429,1.338563003,,1.303657531,,,1.035694193,2.036750575,,,1.618036806,,,,,,1.328835219,
1430,1.287645801,,1.450105496,,,1.063457526,1.618026004,,,1.540066059,,,,,,1.323109833,
1431,1.277553522,,1.524635426,,,1.120222721,0.927743584,,,1.432089073,,,,,,1.330853974,
1432,1.359351228,,1.371015037,,0.917046888,1.169539152,0.864195309,,,1.468605638,,,,,,1.332808471,
1433,1.424319804,,1.449261159,,0.597338525,1.147168168,1.289214273,,,1.363677023,,,,,,1.324355977,
1434,1.523113421,,1.500177469,,0.969038129,1.147320038,1.579907842,,,1.634714323,,,,,,1.304619424,
1435,1.434063346,,1.511331976,,1.046028328,1.073176184,1.437955755,,,1.036944606,,,,,,1.305034171,
1436,1.401056564,,1.495306771,,1.27182146,1.134824389,1.145581413,,,1.277916821,,,,,,1.305449182,
1437,1.029758787,,1.276093285,,0.693680395,1.165302566,1.483545249,,,1.429879381,,,,,,1.286268053,
1438,1.171151427,,1.049333812,,0.56159193,1.092465362,1.556291609,,,1.332231874,,,,,,1.286671212,
